id	version	url	sha256	status	family	kind	language	revision	vector
uuid-rfc9562	RFC-9562	https://www.rfc-editor.org/rfc/rfc9562.html	e2d10634480471b56fe6e032091c5986eeb95b456475c714fbfe520efa97b656	pinned	uuid	official-and-cross-language	Python	RFC9562;CPython-v3.14.0-ac991beb29b1783316c4016c99468c008568d08a	017f22e2-79b0-7cc3-98c4-dc0c0c07398f
ulid-javascript	11c2067821ee19e4dc787ca4e0125a025485edc6	https://raw.githubusercontent.com/ulid/javascript/11c2067821ee19e4dc787ca4e0125a025485edc6/test/node/ulid.spec.ts	7dd7f4526b7c97319256f99c21d465e0073ad819c2b40b3b8f2752b87fe8ca62	pinned	ulid	cross-language	JavaScript	11c2067821ee19e4dc787ca4e0125a025485edc6	01ARYZ6S41YYYYYYYYYYYYYYYY
typeid-valid	be8ff0daf5dc1f6d40c62a03cfc89945263a69af	https://raw.githubusercontent.com/jetify-com/typeid/be8ff0daf5dc1f6d40c62a03cfc89945263a69af/spec/valid.json	af5a9cf2447d757b9354f33861d5d83f4e3244487eac191e37021013ce0c17e3	pinned	typeid	official-spec-valid	multi-language	be8ff0daf5dc1f6d40c62a03cfc89945263a69af	sha256:af5a9cf2447d757b9354f33861d5d83f4e3244487eac191e37021013ce0c17e3
typeid-invalid	be8ff0daf5dc1f6d40c62a03cfc89945263a69af	https://raw.githubusercontent.com/jetify-com/typeid/be8ff0daf5dc1f6d40c62a03cfc89945263a69af/spec/invalid.json	b1bf19bd2c922970bbe0381499807d3a0da652abb3da813b9ab75bac7c25217c	pinned	typeid	official-spec-invalid	multi-language	be8ff0daf5dc1f6d40c62a03cfc89945263a69af	sha256:b1bf19bd2c922970bbe0381499807d3a0da652abb3da813b9ab75bac7c25217c
ksuid-rust	ed78a713f4ef056b3d9053200d64e7069ea41276	https://raw.githubusercontent.com/svix/rust-ksuid/ed78a713f4ef056b3d9053200d64e7069ea41276/tests/test_kuids.txt	392dcde514e4a3da4c777897d61f7a060b20ffacdc5bfb316906f5d1214f42f9	pinned	ksuid	cross-language	Rust	ed78a713f4ef056b3d9053200d64e7069ea41276	000000pryYUMiBILyxOCoroLz6w
nanoid-javascript	c6246e036ca5e7a1d362c1a80726bab63b767754	https://raw.githubusercontent.com/ai/nanoid/c6246e036ca5e7a1d362c1a80726bab63b767754/index.js	1376b40140e6a3a937bf5a144fadaec6c4aa1917766f5940642671fca9148fe2	pinned	nanoid	cross-language	JavaScript	c6246e036ca5e7a1d362c1a80726bab63b767754	_____________________
slug-portable-ascii	8e1051fe39379367aecf014f41744ce7539a856f	https://raw.githubusercontent.com/voku/portable-ascii/8e1051fe39379367aecf014f41744ce7539a856f/src/voku/helper/data/ascii_by_languages.php	e089edb1b32df867bf27f3bca224228f49a850a75bfa4f693d293306e83db72c	pinned	slug	compatibility-source	PHP	8e1051fe39379367aecf014f41744ce7539a856f	sha256:e089edb1b32df867bf27f3bca224228f49a850a75bfa4f693d293306e83db72c
slug-laravel	138e5806ed7e4e21591948b661119d3810f052cf	https://raw.githubusercontent.com/laravel/framework/138e5806ed7e4e21591948b661119d3810f052cf/src/Illuminate/Support/Str.php	1993f1413bd9709360c04b266ee2d94d1a6a324561167bfa5986e06ae2a6c489	pinned	slug	differential-corpus	PHP	138e5806ed7e4e21591948b661119d3810f052cf;spatie-82a69be1ef661ce2ff38242b271457ef0b9611dd	sha256:56cc72e173eed7efb6b6ae6f738bcdde075c4f0e66e54190e89fdff40fbc88e9
